ref_id,doi,authors,citation_reference,year
Brd1967b,10.1103/physrev.159.276,L. B. Bridwell;L. C. Northcliffe;S. Datz;C. D. Moak;H. O. Lutz,"L.B.Bridwell,L.C.Northcliffe,S.Datz,C.D.Moak,H.O.Lutz Phys.Rev. 159,276",1967
Bri1992,10.1016/0168-583x(92)95560-e,M.A. Briere;J.P. Biersack,"M.A.Briere and J.P.Biersack Nucl.Instrum.Methods Phys.Res. B64,693",1992
Brn1972,,M. D. Brown;C. D. Moak,"M.D.Brown and C.D.Moak Phys.Rev. B6,90",1972
Bro2017,10.1140/epjd/e2016-70277-3,Mitchell Brocklebank;Sergey N. Dedyulin;Lyudmila V. Goncharova,"M. Brocklebank, S. N. Dedyulin, and L. V. Goncharova Eur.Phys.J.D 70, 248 (2016)",2017
Bru2018,10.1016/j.nimb.2018.02.005,B. Bruckner;D. Roth;D. Goebl;P. Bauer;D. Primetzhofer,"B. Bruckner, D. Roth, D. Goebl, P. Bauer, D. Primetzhofer Nucl.Instrum.Methods Phys.Res. B 423,82 (2018).",2018
Bs1979,,F.Besenbacher;H.H.Andersen;P.Hvelplund;H.Knudsen,"F.Besenbacher,H.H.Andersen,P.Hvelplund and H.Knudsen Mat.-Fys.Medd.K.Dan.Vidensk.Selsk 40,No.3",1979
Bs1981,10.1016/0029-554x(81)90279-2,F. Besenbacher;J. Bøttiger;O. Graversen;J.L. Hansen;H. Sørensen,"F.Besenbacher,J.Bottiger,O.Graversen, and J.L.Hansen Nucl. Instr. Methods 188, 657",1981
Bt1965,10.1016/0031-9163(65)90086-7,K. Bethge;P. Sandner,"K.Bethge and P.Sandner Phys.Lett. 19,241",1965
Bt1966,10.1515/zna-1966-0727,K. Bethge;P. Sandner;H. Schmidt,"K.Bethge,P.Sandner and H.Schmidt Z.Naturforschung 21a,1052",1966
Bu1971,10.1103/physrevb.3.3625,P. D. Bourland;W. K. Chu;D. Powers,"P.D.Bourland,W.K.Chu and D.Powers Phys.Rev. B3,3625",1971
Bul1974,10.1016/0375-9601(74)90972-4,Yu.V. Bulgakov;V.S. Nikolaev;V.I. Shulga,"Yu.V.Bulgakov,V,S.Nikolaev and V.I.Shulga Phys.Lett. 46A,477",1974
Bv2002,10.1016/s0168-583x(02)00787-5,P. Baving;H.W. Becker;C. Rolfs;H. Zabel,"P.Baving,H.W.Becker,C.Rolfs,H.Zabel Nucl.Instr.Methods Phys.Res. B194,363",2002
By1955,10.1103/physrev.98.1112,J. E. Brolley;F. L. Ribe,"J.E.Brolley and F.L.Ribe Phys.Rev. 98,1112",1955
Ca1978,10.1103/physrevb.17.3492,A. Carnera;G. Della Mea;A. V. Drigo;S. Lo Russo;P. Mazzoldi;G. G. Bentini,"A.Carnera,G.Della Mea,A.V.Drigo,S.Lo Russo,P.Mazzoldi,G.G.Bentini Phys.Rev. B17,3492",1978
CA1999,10.1016/s1350-4487(98)00087-0,M. Chekirine;H. Ammi,"M.Chekirine, H.Ammi Radiation Measurements 30, 131",1999
Can2009,10.1103/physreva.79.042904,E. D. Cantero;R. C. Fadanelli;C. C. Montanari;M. Behar;J. C. Eckardt;G. H. Lantschner;J. E. Miraglia;N. R. Arista,"E.D.Cantero,R.C.Fadanelli,C.C.Montanari,M.Behar,J.C.Eckardt, G.H.Lantschner,J.E.Miraglia,N.R.Arista Phys. Rev. A79, 042904",2009
Can2011,10.1103/PhysRevA.84.014902,E. D. Cantero; C. C. Montanari; M. Behar; R. C. Fadanelli; G. H. Lantschner; J. E. Miraglia; N. R. Arista,"E. D. Cantero et al, PHYSICAL REVIEW A 84, 014902 (2011)",2011
Can2012,10.1016/j.nimb.2012.06.009,E.D. Cantero; R.C. Fadanelli; M. Behar; L.C.C.M. Nagamine; G.H. Lantschner; J.C. Eckardt,"E. D. Cantero et al, Nuclear Instruments and Methods in Physics Research B 287 (2012) 1–3",2012
Car1973,10.1016/0375-9601(73)90227-2,G.W. Carriveau;G. Beauchemin;E.J. Knystautas;E.H. Pinnington;R. Drouin,"G.W.Carriveau,G.Beauchemin,E.J.Knystautas,E.H.Pinnington and R.Drouin Phys.Lett. 46A,4",1973
CasP6.0,10.1088/1361-6455/aa843d,P. L. Grande; G. Schiwietz,Program CasP version 6.0 (March 2021) http://www.casp-program.org/ J. Phys. B At. Mol. Opt. Phys. 50 185201 (2017),2021
CB1977,10.1103/physreva.16.1407,E. K. L. Chau;R. B. Brown;A. S. Lodhi;D. Powers;S. Matteson;S. R. Eisenbarth,"E.K.L.Chau,R.B.Brown,A.S.Lodhi,D.Powers,S.Matteson,S.R.Eisenbarth Phys. Rev. A16, 1407",1977
Ce1977,10.1080/00337577708233273,F. Cembali;F. Zignani,"F.Cembali and F.Zignani Radiat.Eff. 31,169",1977
Cel2013,10.1103/physreva.88.012903,C. Celedón;E. A. Sánchez;M. S. Moreno;N. R. Arista;J. D. Uribe;M. Mery;J. E. Valdés;P. Vargas,"C. Celedon, E.A Sanchez, M.S. Moreno, N.R. Arista, J.D. Uribe, M. Mery, J.E. Valdés, P. Vargas Phys.Rev. A 88, 012903 (2013)",2013
Cel2015,10.1016/j.nimb.2015.08.018,C.E. Celedón;E.A. Sánchez;L. Salazar Alarcón;J. Guimpel;A. Cortés;P. Vargas;N.R. Arista,"C. Celedon, E.A Sanchez, L. Salazar Alarcón , J. Guimpel , A. Cortés, P. Vargas, N.R. Arista Nucl.Instrum.Methods Phys. Res. B 360, 103 (2015)",2015
Cel2017,10.1140/epjd/e2017-70408-4,Carlos E. Celedón;Andrea Cortés;Esteban A. Sánchez;M. Sergio Moreno;Juan David Uribe;Nestor R. Arista;Jorge E. Valdés,"C. Celedon, A. Cortés, E.A Sanchez, M. Sergio Moreno, J.D. Uribe, N.R. Arista, J.E. Valdés Eur.Phys.J.D 71, 64 (2017)",2017
CF1998,10.1016/s0168-583x(97)00661-7,A. Climent-Font;J. Räisänen;E. Rauhala,"A.Climent-Font,J.Räisänen,E.Rauhala Nucl.Instrum.Methods Phys. Res. B136-138, 109 (1998)",1998
CF2000,10.1016/s0168-583x(99)00934-9,A Climent-Font;K Väkeväinen;J Räisänen;E Rauhala,"A.Climent-Font,K.Väkeväinen,J.Räisänen,E.Rauhala Nucl.Instr.Methods Phys.Res. B161-163,101 (2000)",2000
Ch1968,10.1103/physrev.175.342,W. K. Chu;P. D. Bourland;K. H. Wang;D. Powers,"W.K.Chu,P.D.Bourland,K.H.Wang and D.Powers Phys.Rev. 175,342",1968
Ch1969,10.1103/physrev.187.478,W. K. Chu;D. Powers,"W.K.Chu and D.Powers Phys.Rev. 187,478",1969
Ch1971,10.1103/physrevb.4.10,W. K. Chu;D. Powers,"W.K.Chu and D.Powers Phys.Rev. B4,10",1971
Ch1973,10.1063/1.1654703,W.K. Chu;J.F. Ziegler;I.V. Mitchell;W.D. Mackintosh,"W.K.Chu,J.F.Ziegler,I.V.Mitchell and W.D.Mackintosh Appl.Phys.Lett. 22,437",1973
Ch1978,10.1016/0029-554x(78)90847-9,W.K. Chu;M. Braun;J.A. Davies;N. Matsunami;D.A. Thompson,"W.K.Chu,M.Braun,J.A.Davies,N.Matsunami,D.A.Thompson Nucl. Instr. Meth. 149,115",1978
Chk2011,10.1016/j.nimb.2011.04.069,M. Chekirine;H. Ammi;R.K. Choudhury;D.C. Biswas;S. Tobbeche,"M. Chekirine, H. Ammi, R.K. Choudhury, D.C. Biswas, S. Tobbeche Nucl. Instr. Meth. Phys. Res. B269, 3046",2011
CL2009,10.1103/physreva.80.032904,E. D. Cantero;G. H. Lantschner;J. C. Eckardt;N. R. Arista,"E.D.Cantero,G.H.Lantschner,J.C.Eckardt,N.R.Arista, Phys. Rev. A80, 032904",2009
Cm1966,10.1103/physrev.150.249,J. R. Comfort;J. F. Decker;E. T. Lynk;M. O. Scully;A. R. Quinton,"J.R.Comfort,J.F.Decker,E.T.Lynk,M.O.Scully and A.R.Quinton Phys.Rev. 150,249",1966
Cn1972,10.1063/1.1661350,Gilbert L. Cano,"G.L.Cano J.Appl.Phys. 43,1504",1972
Cn2014,10.1016/j.nima.2013.11.002,S.N. Chen;S Atzeni;M. Gauthier;D.P Higginson;F. Mangia;J-R Marques;R. Riquier;J. Fuchs,"S.N.Chen,S.Atzeni,M.Gauthier,D.P.Higginson,F.Mangia,J-R Marques,R.Riquier,J.Fuchs Nuclear Instr. Methods A 740, 105",2014
Co1983,10.1016/0167-5087(83)90209-0,J. Conradie;J. Lombaard;E. Friedland,"J.Conradie,J.Lombaard and E.Friedland Nucl.Instrum.Methods Phys.Res. 205,359",1983
CP1978a,10.1063/1.325121,E. K. L. Chau;D. Powers;A. S. Lodhi;R. B. Brown,"E.K.L. Chau,D.Powers,A.S.Lodhi,R.B.Brown J. Appl. Phys. 49, 2346",1978
CP1978b,10.1063/1.325204,E. K. L. Chau;D. Powers,"E.K.L. Chau and D. Powers J. Appl. Phys. 49, 2611",1978
Cr1942,10.1103/physrev.62.54,Craig M. Crenshaw,"C.M.Crenshaw Phys.Rev. 62,54",1942
Crn2023,10.1016/j.diamond.2022.109621,A. Crnjac;M. Jaksic; M. Matijevic;M- Rodriguez-Ramos;M. Pomorski;Zdravko Siketic,"A. Crnjac et al, Diamond & Related Materials 132 (2023) 109621",2023
Ct1954,10.1103/physrev.93.413,Arthur B. Chilton;John N. Cooper;James C. Harris,"A.B.Chilton,J.N.Cooper and J.C.Harris Phys.Rev. 93,413",1954
Cu1964,10.1103/physrev.135.a335,J. Cuevas;M. Garcia-Munoz;P. Torres;S. K. Allison,"J.Cuevas,M.Garcia-Munoz,P.Torres, and S.K.Allison Phys.Rev. 135,A335",1964
Cv1979,10.1002/pssa.2210530104,V. Ya. Chumanov;Sh. Z. Izmailov;G. P. Pokhil;E. I. Sirotinin;A. F. Tulinov,"V.Y.Chumanov,S.Z.Izmailov,G.P.Pokhil,E.I.Sirotonin,A.F.Tulinov Phys.Status Solidi A53,51",1979
Da1977,10.1103/physrevlett.40.843,S. Datz;C. D. Moak;O. H. Crawford;H. F. Krause;P. F. Dittner;J. Gomez del Campo;J. A. Biggerstaff;P. D. Miller;P. Hvelplund;H. Knudsen,"S.Datz,J.Gomez del Campo,P.F.Dittner,P.D.Miller and J.A.Biggerstaff Phys.Rev.Lett. 38,1145",1977
De1984,10.1119/1.13626,D. Desmarais;J. L. Duggan,"D.Desmarais and J.L.Duggan, American Journal of Physics 52, 408 (1984)",1984
Ded2012,10.1016/j.nimb.2012.07.027,S.N. Dedyulin; M.P. Singh; F.S. Razavi; L.V. Goncharova,"S.N. Dedyulin, M.P. Singh, F.S. Razavi, L.V. Goncharova, Nuclear Instruments and Methods in Physics Research B 288, 60–65 ",2012
Dib2015,10.1016/j.nimb.2015.08.028,A. Dib;H. Ammi;A. Guesmia;M. Msimanga;S. Mammeri;M. Hedibel;B. Guedioura;C.A. Pineda-Vargas,"A. Dib, H. Ammi, A. Guesmia, M. Msimanga, S. Mammeri, M. Hedibel, B. Guedioura, C.A. Pineda-Vargas  Nucl. Instrum. Methods Phys. Res. B 363, 24 (2015)",2015
Dib2015b,10.1016/j.nimb.2015.09.083,A. Dib;H. Ammi;M. Hedibel;A. Guesmia;S. Mammeri;M. Msimanga;C.A. Pineda-Vargas,"A. Dib, H. Ammi, M. Hedibel, A. Guesmia, S. Mammeri,  M. Msimanga, C.A. Pineda-Vargas  Nucl. Instrum. Methods Phys. Res. B 362, 172 (2015)",2015
Dib2019,10.1016/j.nimb.2018.11.008,A. Dib;H. Ammi;M. Msimanga;S. Mammeri;C.A. Pineda-Vargas,"A. Dib, H. Ammi, M. Msimanga, S. Mammeri, C.A. Pineda-Vargas, Nucl. Instrum. Methods Phys. Res. B 450, 43 (2019)",2019
Dib2023,10.1016/j.nimb.2023.165099,A. Dib; H. Ammi; M. Msimanga; C. Mtshali; M. Nkosi,"A. Dib, H. Ammi, M. Msimanga, C. Mtshali, M. Nkosi, Nuclear Instruments and Methods in Physics Research B 543 (2023) 165099",2023
Dib2024,10.1016/j.nimb.2024.165528,A. Dib; H. Ammi;K. Boukeffoussa;M. Msimanga;C. Mtshali;M. Nkosi,"A Dib et al, Nuclear Instruments and Methods in Physics Research B 557 (2024) 165528",2024
Diw2003,10.1016/s0168-583x(02)01601-4,P.K Diwan;S Kumar;V Sharma;S.K Sharma;V.K Mittal;B Sannakki;R.D Mathad;K Uday Kumar;S.A Khan;D.K Avasthi,"P.K.Diwan,S.Kumar,V.Sharma,S.K.Sharma,V.K.Mittal,B.Sannakki, R.D.Mathad,K.Uday Kumar,S.A.Khan,D.K.Avasthi Nucl. Instrum. Methods Phys.Res. B201,389",2003
Diw2007,10.1016/j.nimb.2006.12.181,P.K. Diwan;V. Sharma;S. Kumar;V.K. Mittal;S.A. Khan;D.K. Avasthi,"P.K.Diwan,V.Sharma,S.Kumar,V.K.Mittal,S.A.Khan,D.K.Avasthi Nucl. Instrum. Methods Phys.Res. B 258, 293",2007
Diw2008,10.1016/j.nimb.2008.07.016,P.K.Diwan;V.Sharma;Pratibha;Shyam Kumar;S.A.Khan;D.K.Avasthi,"P.K.Diwan,V.Sharma,Pratibha,Shyam Kumar,S.A.Khan,D.K.Avasthi Nucl. Instrum. Methods Phys.Res. B 266, 4738",2008
Diw2015,10.1016/j.nimb.2015.07.093,P.K. Diwan;Sunil Kumar,"P.K.Diwan,S.Kumar, Nucl. Instrum. Methods B 359 (2015) 78",2015
Dm2004,10.1016/j.nimb.2004.06.007,S. Damache;S. Ouichaoui;A. Belhout;A. Medouni;I. Toumert,"S.Damache,S.Ouichaoui,A.Belhout,A.Medouni,I.Toumert Nucl. Instrum. Methods B225, 449",2004
Dm2006,10.1016/j.nimb.2006.03.014,S. Damache;S. Ouichaoui;D. Moussa;A. Dib,"S.Damache,S.Ouichaoui,D.Moussa,A.Dib Nucl.Instrum.Methods B 249, 22",2006
Dm2010,10.1016/j.nimb.2010.02.068,S. Damache;D. Moussa;S. Ouichaoui,"S. Damache,S.Ouichaoui,D.Moussa,A.Dib Nucl.Instrum.Methods B 268, 1759 (2010)",2010
Dm2013,10.1016/j.nimb.2013.05.002,Smail Damache;Djamel Moussa;Saâd Ouichaoui,"S.Damache, D.Moussa, S.Ouichaoui Nucl. Instrum. Methods B 308, 46",2013
Dm2015,10.1016/j.nimb.2014.11.007,D. Moussa;S. Damache;S. Ouichaoui,"D.Moussa, S.Damache, S.Ouichaoui Nucl. Instrum. Methods B 343, 44-47 (2015)",2015
Dm2016,10.1016/j.nimb.2016.07.006,S. Damache;S. Djaroum;S. Ouichaoui;L. Amari;D. Moussa,"S. Damache, S. Djaroum, S. Ouichaoui, L. Amari, D. Moussa Nucl. Instrum. Methods Phys. Res. B 383, 164-170 (2016)",2016
Do1975,,V.Dose;G.Sele,"V.Dose and G.Sele Z.Phys. A272,237",1975
DPASS21.06,10.1016/j.nimb.2018.10.047, A. Schinner; P. Sigmund,"A. Schinner and P. Sigmund, Nuclear Instruments and Methods in Physics Research Section B 460, 19-26 (2019)",2021
Dr2005,10.1103/physrevlett.95.113201,M. Draxler;S. P. Chenakin;S. N. Markin;P. Bauer,"M.Draxler,S.P.Chenakin,S.N.Markin,P.Bauer Phys. Rev. Lett. 95 (2005) 113201",2005
Ds1997,10.1016/b978-0-444-82334-2.50014-9,J.H.R. dos Santos;P. L. Grande;H. Boudinov;M. Behar;R. Stoll;Chr. Klatt;S. Kalbitzer,"J.H.R.dos Santos,M.Behar,P.L.Grande,H.Boudinov,R.Stoll,Chr.Klatt, S.Kalbitzer Phys.Rev. B55, 13651",1997
Du1975,10.1016/0029-554x(75)90082-8,J.C. Duder;J.F. Clare;H. Naylor,"J.C.Duder,J.F.Clare,H.Naynor Nucl. Instrum. Methods 123, 89",1975
Dwi1997,10.1016/s1350-4487(97)00035-8,K.K. Dwivedi;D. Sinha;S. Singh;A. Srivastava;D.K. Avasthi,"K.K.Dwivedi,D.Sinha,S.Singh,A.Srivastava,D.K.Avasthi Radiation Measurements 28, 37 (1997)",1997
Ec1978,10.1103/physreva.18.426,J. C. Eckardt,"J.C.Eckardt, Phys.Rev. A18,426 (1978)",1978
Ech2012,10.1007/s10909-012-0485-y,A. Echler;A. Bleile;P. Egelhof;S. Ilieva;S. Kraft-Bermuth;J. P. Meier;M. Mutterer,"A.Echler,A.Bleile,P.Egelhof,S.Ilieva, et al. J. Low Temp. Phys. 167, 949",2012
Ech2013,,A. Echler,"Dissertation by A. Echler, URL: http://ubm.opus.hbz-nrw.de/volltexte/2013/3608/. The Ech2013 data is the Ech2012 (DOI:10.1007/s10909-012-0485-y) but corrected for nuclear stopping",2013
Ech2014,10.1007/s10909-013-1043-y,A. Echler;P. Egelhof;P. Grabitz;H. Kettunen;S. Kraft-Bermuth;M. Laitinen;K. Müller;M. Rossi;W.H. Trzaska;A. Virtanen,"A.Echler, P.Egelhof, P.Grabitz, et al. J. Low Temp. Phys., Jan 14",2014
Ech2017,10.1007/s10909-013-1043-y,A. Echler;P. Egelhof;P. Grabitz;H. Kettunen;S. Kraft-Bermuth;M. Laitinen;K. Müller;M. Rossi;W.H. Trzaska;A. Virtanen,"A. Echler, P. Egelhof, P. Grabitz, H. Kettunen,S. Kraft-Bermuth, M. Laitinen,  K. Müller, M. Rossi, W.H. Trzaska, A. Virtanen Nucl. Instrum. Methods B 391, 38-51 (2017).",2017
Ed1997,10.1103/physrevlett.79.4112,K. Eder;D. Semrad;P. Bauer;R. Golser;P. Maier-Komor;F. Aumayr;M. Peñalba;A. Arnau;J. M. Ugalde;P. M. Echenique,"K.Eder,D.Semrad,P.Bauer,R.Golser,P.Maier-Komor, F.Aumayr,M.Penalba,A.Arnau,J.M.Ugalde,P.M.Echenique Phys.Rev.Lett. 79,4112 (data reanalyzed by Dr05)",1997
Ef1975,10.1016/0029-554x(75)90132-9,B. Efken;D. Hahn;D. Hilscher;G. Wüstefeld,"B.Efken,D.Hahn,D.Hilscher, and G. Wustefeld Nucl.Instr.Methods 129,219",1975
Eh1968,10.1002/pssb.19680280154,P. Ehrhart;W. Rupp;R. Sizmann,"P.Ehrhart,W.Rupp and R.Sizmann Phys.Status Solidi 28,K35",1968
Ep1992,10.1016/0168-583x(92)95735-a,Ch. Eppacher;D. Semrad,"Ch.Eppacher,D.Semrad, Nucl.Instrum.Methods Phys.Res. B69, 33 (1992) see also Ep94a",1992
Ep1994a,,Ch. Eppacher,"Chr. Eppacher Ph.D.Thesis, Univ. of Linz, Austria, Schriften der Johannes-Kepler- Universität Linz, Universitätsverlag Rudolf Trauner (1995), and pers. comm.",1994
Ep1994b,10.1016/0168-583x(94)95520-4,Ch. Eppacher;G. Zemsauer;D. Semrad,"Ch.Eppacher,G.Zemsauer,D.Semrad Nucl.Instrum.Methods Phys.Res. B90, 92 (1995). see also Ep94a",1994
Ep1995,10.1016/0168-583x(95)00258-8,Ch. Eppacher;R. Díez Muiño;D. Semrad;A. Arnau,"Ch.Eppacher, R.Diez Muino, D.Semrad, A.Arnau Nucl.Instrum.Methods Phys.Res. B96, 639 see also Ep94a",1995
Er1963,,D. Ertel;K. Zimen,"D.Ertel and K.Zimen Nukleonika 5,256",1963
ESPNN,10.1063/5.0130875, F. Bivort Haiek; A. M. P. Mendez; C. C. Montanari; D. M. Mitnik,"Electronic Stopping Power Neural Network (ESPNN). Part I: atomic targets, https://pypi.org/project/ESPNN/, J. Appl. Phys. 132, 245103 (2022)",2022
Fa1966,10.1016/0029-554x(65)90149-7,B. Fastrup;P. Hvelplund;C. Sautter,"B.Fastrup,P.Hvelplund and C.A.Sautter K.Dansk.Videnskab.Selskab Mat.-Fys. Medd. 35 no.10",1966
Fa1968,10.1139/p68-062,B. Fastrup;A. Borup;P. Hvelplund,"B.Fastrup,A.Borup and P.Hvelplund Canadian Journal of Physics 46,489",1968
Fa2016,10.1140/epjd/e2016-70179-4,Raul C. Fadanelli;Chiara D. Nascimento;C. C. Montanari;Julio C. Aguiar;Dario Mitnik;Andrzej Turos;Elzbieta Guziewicz;Moni Behar,"R.C.Fadanelli,C.D.Nascimento,C.C.Montanari,J.C.Aguiar,D.Mitnik,A.Turos,E.Guziewicz,M.Behar, Eur. Phys. J. D (2016) 70, 178",2016
Fe1975,,J.S.-Y.Feng,"J.S.-Y.Feng J.Appl.Phys. 46,444",1975
Fer2006,10.1016/j.nimb.2006.02.003,A.D. Fertman;T.Yu. Mutin;M.M. Basko;A.A. Golubev;T.V. Kulevoy;R.P. Kuybeda;V.I. Pershin;I.V. Roudskoy;B.Yu. Sharkov,"A.D.Fertman,T.Yu.Mutin,M.M.Basko,A.A.Golubev,T.V.Kulevoy, R.P.Kuybeda,V.I.Pershin,I.V.Roudskoy,B.Yu.Sharkov Nucl.Instrum.Methods B247, 199",2006
Fi1996,10.1016/0168-583x(95)01443-8,P. Fischer;Ch. Eppacher;G. Höfler;D. Semrad,"P.Fischer,Ch.Eppacher,G.Höfler, and D.Semrad Nucl. Instrum. Methods Phys. Res. B115, 27",1996
Fm2002,10.1016/s0168-583x(02)00732-2,M Famá;G.H Lantschner;J.C Eckardt;N.R Arista;J.E Gayone;E Sanchez;F Lovey,"M.Fama,G.H.Lantschner,J.C.Eckardt,N.R.Arista,J.E.Gayone, E.Sanchez,F.Lovey Nucl.Instrum.Methods Phys. Res. B193,91",2002
Fn1979,10.1103/physrevb.19.159,A. Fontell;M. Luomajärvi,"A.Fontell and M.Luomajärvi Phys.Rev. B19,159",1979
Fo1972,10.1080/00337577208232033,C. Foster;W. H. Kool;W. F. van der Weg;H. E. Roosendaal,"C.Foster,W.H.Kool,W.van der Weg and H.E.Rosendaal Radiat.Eff. 16,139",1972
Fom2000,10.1007/s100530050054,A. Formicola; M. Aliotta; G. Gyürky,"A.Formicola et al. Eur. Phys. J. A8,443 ",2000
Fon2016,10.1016/j.nimb.2015.10.048,Cristiano L. Fontana;Chien-Hung Chen;Miguel L. Crespillo;Joseph T. Graham;Haizhou Xue;Yanwen Zhang;William J. Weber,"C.L. Fontana, C-H. Chen, M.L. Crespillo, J.T. Graham, H.  Xue,Y. Zhang, W.J. Weber Nucl. Instrum. Methods Phys. Res. B 366 (2016) 104–116 ",2016
Fry1996,10.1016/0168-583x(95)01008-4,C.M. Frey;G. Dollinger;A. Bergmaier;T. Faestermann;P. Maier-Komor,"C.M.Frey,G.Dollinger,A.Bergmaier,T.Faestermann,P.Maier-Komor Nucl.Instrum.Methods Phys.Res. B107, 31",1996
Fs1976,10.1016/0029-554x(76)90218-4,J.S. Forster;D. Ward;H.R. Andrews;G.C. Ball;G.J. Costa;W.G. Davies;I.V. Mitchell,"J.S.Forster,D.Ward,H.R.Andrews,G.C.Ball,G.J.Costa,W.G.Davies and I.V.Mitchell Nucl.Instrum.Methods Phys.Res. 136,349 (1976)",1976
FS1980,10.1016/0029-554x(80)91230-6,R.W. Fearick;J.P.F. Sellschop,"R.W.Fearick and J.F.P.Sellschop Nucl.Instrum.Methods Phys.Res. 168,51",1980
Fu1980,10.1088/0031-9155/25/5/006,A Fukuda,"A.Fukuda Phys.Med.Biol. 25,877",1980
Fu1981,10.1088/0031-9155/26/4/006,A Fukuda,"A.Fukuda Phys. Med. Biol. 26,623",1981
Fu1996,10.1088/0953-4075/29/16/015,Akira Fukuda,"A.Fukuda J.Phys.B. At.Mol.Opt.Phys. 29,3717",1996
Fu1999,10.1088/0953-4075/32/2/001,Akira Fukuda,"A.Fukuda J.Phys.B At. Mol.Opt.Phys. 32,153",1999
Ga1987,10.1016/0168-583x(87)90103-0,H. Gauvin;R. Bimbot;J. Herault;R. Anne;G. Bastin;F. Hubert,"H.Gauvin,R.Bimbot,J.Herault,R.Anne,G.Bastin and F.Hubert Nucl.Instrum. Methods Phys.Res. B28,191 (1987)",1987
Ga1990,,H. Gauvin;R. Bimbot;J. Herault;B.Kubica;R. Anne;G. Bastin;F. Hubert,"H.Gauvin,R.Bimbot,J.Herault,B.Kubica,R.Anne,G.Bastin and F.Hubert Nucl.Instrum. Methods Phys.Res. B47,339",1990
Gd1998,10.1016/s0168-9002(98)00451-3,D. Gardès;M. Chabot;M. Nectoux;G. Maynard;C. Deutsch;I. Roudskoı̈,"D.Gardes,M.Chabot,M.Nectoux,G.Maynard,C.Deutsch,I.Roudskoi, Nucl.Instrum. Methods Phys.Res. A415,698",1998
Ge1985,10.1002/pssb.2221310213,P. Gehrmann;K. Lenkeit;R. Stolle,"P.Gehrmann,K.Lenkeit and R.Stolle Phys.Status Solidi B131,519",1985
Gew2018,10.1063/1.5083599,Jeeban Pd Gewali;Neha Munjal;Ankush Thakur;Inderjeet Singh;Bimla Jaishy;A. Saxena,"J.Pd Gewali, N.Munjal, A.Thakur, I.Singh, B.Jaishy, and A.Saxena AIP Conference Proceedings 2050, 020012 (2018); https://doi.org/10.1063/1.5083599",2018
Gl1991,10.1103/physrevlett.66.1831,R. Golser;D. Semrad,"R.Golser and D.Semrad Phys. Rev. Lett. 66,1831",1991
Gl1992a,10.1016/0168-583x(92)95774-l,R. Golser;Ch. Eppacher;D. Semrad,"R.Golser,Ch.Eppacher and D.Semrad Nucl.Instrum. Methods Phys.Res. B67,69",1992
Gl1992b,10.1103/physreva.45.r4222,R. Golser;D. Semrad,"R.Golser and D.Semrad Nucl.Instrum. Methods Phys.Res. B69,18",1992
Gm1976,10.1016/0029-554x(76)90720-5,H. Grahmann;S. Kalbitzer,"H.Grahmann and S.Kalbitzer Nucl.Instrum.Methods Phys.Res. 132,119",1976
GM1978,10.1103/physreva.18.2022,I. Gertner;M. Meron;B. Rosner,"I.Gertner,M.Meron,B.Rosner Phys. Rev. A18, 2022",1978
Go1967,10.1016/0375-9474(67)90456-3,S. Gorodetzky;Mme A. Chevallier;A. Pape;J.Cl. Sens;Mme A.M. Bergdolt;M. Bres;R. Armbruster,"S.Gorodetzky,A.Chevalier,A.Pape,J.Cl.Sens,A.M.Bergdolt,M.Bres, R.Armbruster Nucl.Phys. A91,133",1967
Go1969,10.1016/0029-554x(69)90171-2,S Gorodetzky;A Pape;E.L Cooperman;A Chevallier;J.C Sens;R Armbruster,"S.Gorodetzky,A.Pape,E.L.Cooperman,A.Chevallier,J.C.Sens and R.Armbruster Nucl.Instrum.Methods Phys.Res. 70,11",1969
Gö2013,10.1103/physreva.87.062903,D. Goebl;D. Roth;P. Bauer,"D. Goebl, D. Roth, P. Bauer, Phys. Rev. A 87, 062903",2013
Gö2014,10.1103/physreva.90.042706,D. Goebl;W. Roessler;D. Roth;P. Bauer,"D.Goebl,W.Roessler,D.Roth,P.Bauer, Phys. Rev. A90, 042706",2014
Gop1996,,P.C. Goppelt-Langer;S.Yamamoto;Y.Aoki;H.Takeshita;H.Naramoto,"P.Goppelt-Langer,S.Yamamoto,Y.Aoki,H.Takeshita,H.Naramoto Nucl.Instrum.Methods Phys.Res. B118,7",1996
Gr1955,10.1103/physrev.98.466,D. Wayne Green;John N. Cooper;James C. Harris,"D.W.Green,J.N.Cooper and J.C.Harris, Phys.Rev. 98,466 (1955)",1955
Grf2004,10.1016/j.nimb.2018.12.039,Kenneth T. Gillen;Roger L. Clough,"U.Greife et al, Nucl.Instrum.Methods B 217 (2004) 1",2004
Gs1977,10.1016/0029-554x(77)90010-6,H. Geissel;K. Güttner;S. Hofmann;G. Münzenberg,"H.Geissel,K.Güttner,S.Hofmann and G.Münzenberg Nucl. Instrum. Methods 144,465",1977
Gs1980,10.1016/0029-554x(80)91015-0,H. Geissel;P. Armbruster;T. Kitahara;G. Kraft;H. Spieler;K. Güttner,"H.Geissel,P.Armbruster,T.Kitahara,G.Kraft,H.Spieler and K.Güttner Nucl.Instrum.Methods Phys.Res. 170,217",1980
